GeneID,gene,index
1577,CYP3A5,2129
1579,CYP4A11,2130
1582,CYP8B1,2137
1583,CYP11A1,2106
1584,CYP11B1,2107
1585,CYP11B2,2108
1586,CYP17A1,2109
1588,CYP19A1,2110
1591,CYP24A1,2114
1592,CYP26A1,2115
1593,CYP27A1,2116
1595,CYP51A1,2135
1601,DAB2,2144
1602,DACH1,2146
1603,DAD1,2148
1604,CD55,1322
1607,DGKB,2276
1609,DGKQ,2277
1610,DAO,2149
1612,DAPK1,2152
1613,DAPK3,2154
1616,DAXX,2156
1618,DAZL,2158
1620,BRINP1,974
1621,DBH,2161
1627,DBN1,2162
1628,DBP,2164
1629,DBT,2166
1630,DCC,2179
1632,ECI1,2544
1633,DCK,2180
1634,DCN,2183
1635,DCTD,2189
1636,ACE,74
1638,DCT,2188
1639,DCTN1,2190
1642,DDB1,2201
1643,DDB2,2202
1644,DDC,2203
1645,AKR1C1,303
1646,AKR1C2,304
1647,GADD45A,3237
1649,DDIT3,2206
1650,DDOST,2211
1653,DDX1,2213
1654,DDX3X,2228
1655,DDX5,2234
1656,DDX6,2240
1659,DHX8,2299
1660,DHX9,2300
1663,DDX11,2214
1665,DHX15,2291
1666,DECR1,2241
1667,DEFA1,2244
1668,DEFA3,2246
1670,DEFA5,2247
1671,DEFA6,2248
1672,DEFB1,2249
1673,DEFB4A,2253
1674,DES,2269
1675,CFD,1509
1676,DFFA,2271
1677,DFFB,2272
1678,TIMM8A,9047
1716,DGUOK,2279
1717,DHCR7,2281
1718,DHCR24,2280
1723,DHODH,2283
1725,DHPS,2284
1727,CYB5R3,2095
1728,NQO1,5971
1730,DIAPH2,2301
1734,DIO2,2305
1735,DIO3,2306
1736,DKC1,2312
1737,DLAT,2314
1738,DLD,2316
1739,DLG1,2317
1740,DLG2,2318
1741,DLG3,2319
1742,DLG4,2320
1743,DLST,2328
1745,DLX1,2329
1747,DLX3,2330
1750,DLX6,2331
1755,DMBT1,2334
1756,DMD,2336
1758,DMP1,2338
1759,DNM1,2391
1760,DMPK,2339
1763,DNA2,2342
1768,DNAH6,2354
1769,DNAH8,2356
1770,DNAH9,2357
1774,DNASE1L1,2386
1777,DNASE2,2387
1778,DYNC1H1,2501
1780,DYNC1I1,2502
1781,DYNC1I2,2503
1783,DYNC1LI2,2505
1785,DNM2,2393
1786,DNMT1,2396
1787,TRDMT1,9289
1788,DNMT3A,2397
1789,DNMT3B,2398
1791,DNTT,2400
1793,DOCK1,2405
1795,DOCK3,2407
1796,DOK1,2413
1798,DPAGT1,2421
1800,DPEP1,2422
1801,DPH1,2426
1802,DPH2,2427
1803,DPP4,2432
1804,DPP6,2433
1805,DPT,2438
1806,DPYD,2440
1807,DPYS,2441
1808,DPYSL2,2442
1809,DPYSL3,2443
1810,DR1,2446
1812,DRD1,2449
1813,DRD2,2450
1814,DRD3,2451
1815,DRD4,2452
1816,DRD5,2453
1819,DRG2,2455
1820,ARID3A,591
1822,ATN1,689
1823,DSC1,2457
1824,DSC2,2458
1825,DSC3,2459
1826,DSCAM,2460
1827,RCAN1,7393
1828,DSG1,2463
1829,DSG2,2464
1830,DSG3,2465
1832,DSP,2468
1837,DTNA,2472
1838,DTNB,2473
1839,HBEGF,3725
1840,DTX1,2475
1841,DTYMK,2479
1843,DUSP1,2483
1844,DUSP2,2488
1845,DUSP3,2489
1846,DUSP4,2490
1847,DUSP5,2491
1848,DUSP6,2492
1849,DUSP7,2493
1850,DUSP8,2494
1852,DUSP9,2495
1854,DUT,2496
1855,DVL1,2497
1856,DVL2,2498
1857,DVL3,2499
1859,DYRK1A,2513
1861,TOR1A,9219
1869,E2F1,2520
1870,E2F2,2521
1871,E2F3,2522
1874,E2F4,2523
1875,E2F5,2524
1876,E2F6,2525
1877,E4F1,2528
1879,EBF1,2534
1880,GPR183,3537
1889,ECE1,2539
1890,TYMP,9465
1891,ECH1,2540
1892,ECHS1,2543
1893,ECM1,2546
1894,ECT2,2549
1896,EDA,2550
1901,S1PR1,7809
1902,LPAR1,4845
1903,S1PR3,7810
1906,EDN1,2560
1907,EDN2,2561
1908,EDN3,2562
1909,EDNRA,2563
1910,EDNRB,2564
1911,PHC1,6496
1912,PHC2,6497
1915,EEF1A1,2567
1917,EEF1A2,2568
1933,EEF1B2,2569
1936,EEF1D,2570
1937,EEF1G,2572
1938,EEF2,2573
1939,EIF2D,2616
1942,EFNA1,2580
1943,EFNA2,2581
1944,EFNA3,2582
1945,EFNA4,2583
1946,EFNA5,2584
1947,EFNB1,2585
1949,EFNB3,2586
1950,EGF,2588
1952,CELSR2,1451
1956,EGFR,2589
1958,EGR1,2593
1959,EGR2,2594
1961,EGR4,2595
1962,EHHADH,2601
1964,EIF1AX,2606
1965,EIF2S1,2617
1967,EIF2B1,2612
1968,EIF2S3,2619
1969,EPHA2,2735
1973,EIF4A1,2633
1974,EIF4A2,2634
1975,EIF4B,2635
1977,EIF4E,2636
1978,EIF4EBP1,2640
1981,EIF4G1,2643
1982,EIF4G2,2644
1983,EIF5,2647
1984,EIF5A,2648
1991,ELANE,2654
1992,SERPINB1,7985
1994,ELAVL1,2655
1997,ELF1,2656
1998,ELF2,2657
1999,ELF3,2658
2005,ELK4,2659
2009,EML1,2694
2010,EMD,2690
2011,MARK2,5053
2017,CTTN,2049
2021,ENDOG,2700
2022,ENG,2701
2023,ENO1,2704
2026,ENO2,2705
2027,ENO3,2706
2028,ENPEP,2707
2029,ENSA,2712
2030,SLC29A1,8196
2033,EP300,2722
2034,EPAS1,2723
2035,EPB41,2724
2036,EPB41L1,2725
2037,EPB41L2,2726
2039,DMTN,2340
2040,STOM,8672
2041,EPHA1,2733
2042,EPHA3,2736
2043,EPHA4,2737
2044,EPHA5,2738
2045,EPHA7,2739
2046,EPHA8,2740
2047,EPHB1,2741
2048,EPHB2,2742
2049,EPHB3,2743
2050,EPHB4,2744
2051,EPHB6,2745
2052,EPHX1,2746
2053,EPHX2,2747
2054,STX2,8701
2055,CLN8,1706
2056,EPO,2753
2057,EPOR,2754
2060,EPS15,2756
2063,NR2F6,5988
2064,ERBB2,2760
2065,ERBB3,2761
2066,ERBB4,2762
2067,ERCC1,2765
2068,ERCC2,2766
2069,EREG,2772
2070,EYA4,2862
2071,ERCC3,2767
2072,ERCC4,2768
2074,ERCC6,2769
2077,ERF,2773
2079,ERH,2778
2081,ERN1,2782
2091,FBL,2943
2098,ESD,2792
2099,ESR1,2795
2100,ESR2,2796
2101,ESRRA,2799
2103,ESRRB,2800
2104,ESRRG,2801
2107,ETF1,2806
2108,ETFA,2807
2109,ETFB,2808
2110,ETFDH,2810
2113,ETS1,2814
2114,ETS2,2815
2115,ETV1,2816
2117,ETV3,2817
2118,ETV4,2818
2119,ETV5,2819
2120,ETV6,2820
2121,EVC,2824
2123,EVI2A,2826
2124,EVI2B,2827
2125,EVPL,2830
2130,EWSR1,2831
2131,EXT1,2854
2132,EXT2,2855
2134,EXTL1,2856
2135,EXTL2,2857
2137,EXTL3,2858
2138,EYA1,2859
2139,EYA2,2860
2140,EYA3,2861
2145,EZH1,2863
2146,EZH2,2864
2147,F2,2872
2149,F2R,2873
2150,F2RL1,2874
2151,F2RL2,2875
2152,F3,2877
2153,F5,2878
2155,F7,2879
2157,F8,2880
2158,F9,2881
2159,F10,2866
2160,F11,2867
2161,F12,2869
2162,F13A1,2870
2165,F13B,2871
2166,FAAH,2883
2167,FABP4,2889
2168,FABP1,2886
2169,FABP2,2887
2170,FABP3,2888
2171,FABP5,2890
2173,FABP7,2891
2175,FANCA,2918
2176,FANCC,2919
2177,FANCD2,2920
2178,FANCE,2921
2180,ACSL1,105
2181,ACSL3,106
2182,ACSL4,107
2184,FAH,2898
2185,PTK2B,7123
2186,BPTF,960
2188,FANCF,2922
2189,FANCG,2923
2192,FBLN1,2946
2193,FARSA,2932
2194,FASN,2936
2195,FAT1,2939
2199,FBLN2,2947
2200,FBN1,2949
2201,FBN2,2950
2202,EFEMP1,2576
2203,FBP1,2952
2204,FCAR,2989
2205,FCER1A,2990
2206,MS4A2,5426
2207,FCER1G,2991
2208,FCER2,2992
2209,FCGR1A,2994
2212,FCGR2A,2995
2213,FCGR2B,2996
2217,FCGRT,2997
2218,FKTN,3080
2219,FCN1,2998
2220,FCN2,2999
2224,FDPS,3001
2230,FDX1,3002
2232,FDXR,3004
2235,FECH,3005
2237,FEN1,3009
2239,GPC4,3512
2241,FER,3010
2242,FES,3015
2244,FGB,3021
2245,FGD1,3022
2246,FGF1,3026
2247,FGF2,3034
